Ilce,Nufus,Metro_Istasyon_Sayisi,Metro_Hatlari,Otopark_Sayisi,Toplam_Kapasite,Genel_Eksiklik_Skoru,Trafik_Yogunluk_Skoru
Beylikdüzü,415290,0.0,Yok,0.0,0.0,96.4,88
Sultangazi,532601,0.0,Yok,0.0,0.0,95.5,85
Bahçelievler,560086,0.0,Yok,0.0,0.0,91.0,70
Esenyurt,988369,2.0,M9,0.0,0.0,86.88232127879365,90
Silivri,232156,0.0,Yok,0.0,0.0,83.5,45
Büyükçekmece,280528,0.0,Yok,3.0,638.0,81.90286887583414,70
Çatalca,80399,0.0,Yok,0.0,0.0,79.0,30
Şile,48936,0.0,Yok,0.0,0.0,77.5,25
Adalar,16979,0.0,Yok,0.0,0.0,73.0,10
Küçükçekmece,789033,3.0,M1A,3.0,1367.0,68.05938661627587,80
Avcılar,440934,1.0,Metrobüs,10.0,1784.0,66.47660647625268,80
Beykoz,245440,0.0,Yok,17.0,2291.0,65.0,50
Sultanbeyli,369193,3.0,M5,0.0,0.0,50.37084397591504,70
Fatih,354472,15.0,"M1A,M2,T1,T4",0.0,0.0,45.5,85
Şişli,263063,14.0,"M2,M7,M11",0.0,0.0,44.599999999999994,82
Gaziosmanpaşa,479931,7.0,M7,0.0,0.0,42.8,76
Pendik,749356,8.0,M4,0.0,0.0,42.5,75
Ümraniye,727819,12.0,M5,0.0,0.0,42.5,75
Beşiktaş,167264,8.0,"M6,M7,TF1",0.0,0.0,42.5,75
Zeytinburnu,278344,8.0,"M1A,M1B,T1",0.0,0.0,42.5,75
Eyüpsultan,420706,6.0,"M7,T5,TF2",0.0,0.0,40.4,68
Ataşehir,414866,10.0,"M4,M8",0.0,0.0,40.4,68
Sancaktepe,502077,5.0,M5,0.0,0.0,39.706840783385815,65
Başakşehir,520467,15.0,"M3,M7,M9",0.0,0.0,39.5,65
Çekmeköy,306739,8.0,M5,6.0,215.0,35.19631347823395,60
Arnavutköy,344868,3.0,M11,1.0,700.0,34.88604915503903,55
Tuzla,301400,4.0,M4,2.0,600.0,33.6371599203716,72
Esenler,423625,5.0,"M1A,M7",4.0,1580.0,28.48114488049572,78
Sarıyer,342582,3.0,"M2,M6",27.0,12422.0,24.214862427097742,60
Beyoğlu,216688,12.0,"M2,M11,T1,F1,F2",37.0,6430.0,24.0,80
Kadıköy,462189,18.0,"M4,M8,T1,T3",57.0,8047.0,23.4,78
Bağcılar,713594,18.0,"M1A,M7,T1",10.0,5043.0,22.5,75
Bayrampaşa,268303,4.0,"M1A,T5",17.0,4497.0,22.2,74
Bakırköy,219893,12.0,"M1A,M3,M9",37.0,5615.0,21.9,73
Güngören,264831,3.0,M1A,17.0,3547.0,21.599999999999998,72
Üsküdar,512981,12.0,"M5,M8",27.0,3479.0,21.599999999999998,72
Kağıthane,444820,8.0,"M2,M7,M11",9.0,5287.0,21.0,70
Kartal,475859,8.0,M4,21.0,3301.0,21.0,70
Maltepe,524921,6.0,"M4,M8",8.0,3816.0,19.5,65
